"AnimalID","Name","DateTime","OutcomeType","OutcomeSubtype","AnimalType","SexuponOutcome","AgeuponOutcome","Breed","Color"
"A679070","","11/18/2014 13:15","Euthanasia","Suffering","Dog","Neutered Male","11 months","Chihuahua Shorthair Mix","Yellow/White"
"A715076","","11/5/2015 17:32","Adoption","","Dog","Neutered Male","3 years","Maltese Mix","White"
"A711377","Ruso","9/7/2015 18:47","Return_to_owner","","Dog","Neutered Male","3 months","Anatol Shepherd Mix","Brown/Tan"
"A713125","Ophelia","10/6/2015 13:59","Transfer","Partner","Dog","Intact Female","1 year","Chihuahua Longhair Mix","Tricolor"
"A706536","Butch","2/19/2016 19:15","Return_to_owner","","Dog","Neutered Male","5 years","English Bulldog","Tan/White"
"A675612","Riddick","4/28/2014 16:39","Adoption","","Dog","Neutered Male","2 years","German Shepherd Mix","Black/Brown"
"A707790","","7/22/2015 17:04","Adoption","","Dog","Neutered Male","2 years","Chihuahua Shorthair Mix","Black"
"A672566","Cookies","2/13/2014 19:03","Return_to_owner","","Dog","Spayed Female","1 year","Pointer Mix","White/Black"
"A601696","Lady","2/15/2015 16:53","Adoption","","Dog","Spayed Female","6 years","Labrador Retriever Mix","Black Smoke/White"
"A667525","Skipper","12/2/2013 17:01","Adoption","","Dog","Spayed Female","1 year","Jack Russell Terrier","White/Brown"
"A689144","Kelly","10/2/2014 14:35","Transfer","Partner","Dog","Intact Female","2 years","Labrador Retriever Mix","Brown/White"
"A679110","","5/19/2014 12:49","Transfer","Partner","Dog","Neutered Male","7 years","Lhasa Apso Mix","Brown/White"
"A669737","Tucker","1/9/2014 17:44","Adoption","Foster","Dog","Neutered Male","2 months","Dachshund Mix","Black/White"
"A691379","Lucy","11/7/2014 18:41","Adoption","","Dog","Spayed Female","4 years","Miniature Schnauzer Mix","Black"
"A719526","Chief Lemon","1/22/2016 11:06","Adoption","","Dog","Neutered Male","10 months","Beagle Mix","Black/Tan"
"A679121","","5/23/2014 14:40","Transfer","Partner","Dog","Spayed Female","5 years","Dachshund Mix","Tan/White"
"A673456","","3/23/2014 18:29","Adoption","Foster","Dog","Neutered Male","1 month","Chihuahua Shorthair Mix","Chocolate/Tan"
"A672118","","2/9/2014 17:13","Adoption","","Dog","Spayed Female","8 months","Border Collie Mix","Black"
"A712510","Baldo","12/26/2015 18:02","Adoption","","Dog","Neutered Male","10 months","German Shepherd Mix","White/Brown"
"A672533","","2/12/2014 15:37","Euthanasia","Suffering","Dog","Intact Male","4 years","Chihuahua Shorthair Mix","White/Black"
"A691270","Shorty","11/2/2014 9:34","Euthanasia","Suffering","Dog","Intact Male","1 month","Yorkshire Terrier Mix","Tan/Blue"
"A673659","Austin","8/21/2014 18:34","Adoption","","Dog","Neutered Male","2 years","Pit Bull Mix","Black/White"
"A719245","","1/20/2016 15:54","Transfer","Partner","Dog","Neutered Male","10 years","Labrador Retriever Mix","Black"
"A721022","Ranger","2/20/2016 11:16","Return_to_owner","","Dog","Neutered Male","2 years","Black Mix","Black/Brown"
"A680206","Milo","6/2/2014 17:58","Adoption","","Dog","Spayed Female","2 months","Jack Russell Terrier Mix","Tricolor"
"A690848","Hailey","11/21/2014 16:43","Adoption","","Dog","Spayed Female","1 year","Pit Bull Mix","Blue/White"
"A682006","Leo","6/24/2014 15:58","Return_to_owner","","Dog","Intact Male","5 years","Presa Canario","Brown/Black"
"A719031","Rufus","1/18/2016 17:30","Adoption","","Dog","Neutered Male","6 months","Miniature Schnauzer Mix","Gray/Tan"
"A475943","Rosie","3/13/2014 16:30","Return_to_owner","","Dog","Spayed Female","13 years","Miniature Poodle","White"
"A700670","Lucy Lu","6/4/2015 13:16","Return_to_owner","","Dog","Spayed Female","3 years","Border Collie Mix","Black"
"A713904","Santana","10/15/2015 11:21","Return_to_owner","","Dog","Intact Male","2 years","Bulldog","White/Brown"
"A676458","Moon Pie","4/17/2014 14:52","Transfer","Partner","Dog","Neutered Male","10 years","Dachshund Mix","Red"
"A708988","Rex","9/15/2015 18:04","Adoption","","Dog","Neutered Male","6 years","German Shepherd Mix","Black/Tan"
"A692361","","11/21/2014 16:22","Transfer","Partner","Dog","Spayed Female","2 years","Yorkshire Terrier","Red/Black"
"A680809","","6/23/2014 12:20","Transfer","Partner","Dog","Intact Male","2 months","Black Mouth Cur Mix","Brown"
"A707429","","7/13/2015 9:26","Euthanasia","Suffering","Dog","Unknown","0 years","Rottweiler Mix","Black/Brown"
"A597414","Shiner","2/12/2015 11:47","Adoption","","Dog","Neutered Male","5 years","Plott Hound","Black Brindle"
"A684900","Nemo","8/25/2014 14:37","Adoption","","Dog","Neutered Male","3 years","Bruss Griffon Mix","Buff"
"A692902","Cowgirl","12/3/2014 16:05","Transfer","Partner","Dog","Spayed Female","2 years","Miniature Schnauzer Mix","White/Black"
"A707696","","7/16/2015 12:31","Euthanasia","Suffering","Dog","Intact Male","1 month","Pit Bull Mix","White/Brown"
"A717980","Purdy","12/22/2015 18:52","Adoption","","Dog","Intact Female","1 year","Dachshund Wirehair Mix","Cream"
"A675560","Kofi","4/10/2014 13:19","Transfer","Partner","Dog","Neutered Male","8 years","Beagle Mix","Tan/White"
"A707093","Chase","10/4/2015 11:56","Return_to_owner","","Dog","Neutered Male","2 years","Bichon Frise Mix","White"
"A694493","Fiona","5/9/2015 12:53","Adoption","","Dog","Spayed Female","4 years","Pit Bull Mix","Black/White"
"A698852","Chloe","7/14/2015 13:25","Transfer","Partner","Dog","Spayed Female","2 years","German Shepherd Mix","Black/Tan"
"A696718","Myrtle","10/10/2015 14:59","Transfer","Partner","Dog","Spayed Female","2 years","Pit Bull Mix","Tan"
"A710439","Vinny","10/18/2015 19:09","Adoption","","Dog","Neutered Male","2 years","Pit Bull Mix","Chocolate/White"
"A665150","","10/14/2013 15:04","Transfer","Partner","Dog","Intact Male","4 weeks","Chihuahua Shorthair Mix","Sable"
"A715498","Camille","1/13/2016 9:03","Adoption","Foster","Dog","Spayed Female","2 years","Pit Bull Mix","Brown/White"
"A680884","Mayze","6/19/2014 14:44","Transfer","Partner","Dog","Spayed Female","2 years","Dachshund Mix","Black/Brown"
"A696439","Hector","2/11/2015 16:24","Transfer","Partner","Dog","Neutered Male","10 months","Labrador Retriever Mix","Cream/White"
"A672746","Manolo","8/13/2014 7:23","Return_to_owner","","Dog","Neutered Male","9 years","Jack Russell Terrier Mix","White/Black"
"A691410","Baby 2","11/4/2014 18:12","Return_to_owner","","Dog","Spayed Female","3 years","Labrador Retriever Mix","Blue/White"
"A680695","Tank","6/10/2014 16:51","Return_to_owner","","Dog","Neutered Male","1 year","Rottweiler Mix","Black/Brown"
"A718810","Mimi","1/11/2016 17:52","Adoption","","Dog","Spayed Female","1 year","Chihuahua Shorthair Mix","Red"
"A683487","Bullet","7/13/2014 13:26","Return_to_owner","","Dog","Intact Male","3 years","Miniature Pinscher Mix","Black/Brown"
"A715755","","11/17/2015 0:00","Adoption","","Dog","Spayed Female","1 month","Dachshund Mix","Blue Merle"
"A705043","Ginger","6/16/2015 12:28","Adoption","","Dog","Spayed Female","2 years","Miniature Poodle Mix","Cream"
"A600198","Buddy","11/29/2014 11:42","Return_to_owner","","Dog","Neutered Male","4 years","Boxer Mix","Brown/Black"
"A650783","Redbud","2/8/2014 15:36","Transfer","Partner","Dog","Spayed Female","1 year","Pit Bull Mix","Tan/White"
"A678354","","5/11/2014 11:38","Transfer","Partner","Dog","Intact Female","2 months","Labrador Retriever Mix","White/Cream"
"A651248","Titus","7/7/2015 18:30","Adoption","","Dog","Neutered Male","3 years","Doberman Pinsch","Black/Tan"
"A669146","Natasha","6/15/2014 18:25","Adoption","","Dog","Spayed Female","1 year","Jack Russell Terrier Mix","White"
"A689186","Rugby","12/26/2014 11:20","Adoption","Foster","Dog","Neutered Male","5 years","Labrador Retriever Mix","Black"
"A696618","Tyler","2/9/2015 12:07","Return_to_owner","","Dog","Neutered Male","3 years","Labrador Retriever Mix","Chocolate"
"A668531","Hope","12/6/2013 16:34","Transfer","Partner","Dog","Intact Female","2 months","Australian Cattle Dog Mix","Black/White"
"A717724","Sheryl","12/19/2015 15:47","Transfer","Partner","Dog","Spayed Female","1 year","German Shepherd Mix","Red"
"A701764","Constable","5/8/2015 11:16","Return_to_owner","","Dog","Intact Male","9 months","Labrador Retriever Mix","Black/White"
"A708326","Sarah","8/3/2015 12:52","Adoption","","Dog","Spayed Female","2 years","Australian Shepherd Mix","Brown Merle/White"
"A711962","Pepper","9/19/2015 13:01","Transfer","Partner","Dog","Intact Female","2 years","Chihuahua Shorthair Mix","Fawn"
"A713217","Newton","12/4/2015 17:23","Adoption","","Dog","Neutered Male","5 years","Labrador Retriever Mix","Black"
"A673580","","2/27/2014 11:18","Transfer","Partner","Dog","Intact Female","2 months","Chihuahua Shorthair Mix","Brown/White"
"A703810","","6/3/2015 12:42","Adoption","","Dog","Spayed Female","5 months","Black Mouth Cur Mix","Sable"
"A533602","Daisy","10/8/2014 13:40","Return_to_owner","","Dog","Spayed Female","7 years","Labrador Retriever Mix","Buff"
"A716436","Freddi","11/24/2015 17:05","Adoption","","Dog","Spayed Female","4 months","Pit Bull Mix","White/Brown"
"A711994","","9/19/2015 17:08","Adoption","","Dog","Neutered Male","2 months","Labrador Retriever Mix","Black/White"
"A688346","Django","9/26/2014 18:23","Return_to_owner","","Dog","Neutered Male","1 year","Miniature Poodle","White"
"A668581","","12/9/2013 18:27","Adoption","","Dog","Neutered Male","2 months","Chihuahua Shorthair Mix","Cream"
"A707851","Tank","7/21/2015 17:16","Return_to_owner","","Dog","Neutered Male","2 years","Pit Bull Mix","White/Black"
"A672259","Jake","2/16/2014 12:10","Return_to_owner","","Dog","Neutered Male","8 years","Manchester Terrier Mix","Black/Brown"
"A694383","","12/31/2014 16:03","Adoption","","Dog","Spayed Female","2 months","Akita Mix","Brown/White"
"A666651","Bosha","11/5/2013 18:52","Return_to_owner","","Dog","Spayed Female","12 years","Labrador Retriever Mix","Chocolate"
"A701893","Katy","5/10/2015 18:07","Adoption","","Dog","Spayed Female","6 months","Labrador Retriever Mix","White/Brown"
"A720082","","2/15/2016 0:00","Transfer","Partner","Dog","Intact Male","2 weeks","Labrador Retriever Mix","Brown Merle"
"A703257","Jack","8/9/2015 11:45","Adoption","","Dog","Intact Male","5 months","Catahoula Mix","Blue Merle/White"
"A643183","Charlie","1/20/2016 14:07","Return_to_owner","","Dog","Spayed Female","6 years","Chihuahua Shorthair Mix","Brown/White"
"A692087","Snickers","11/18/2014 17:30","Adoption","","Dog","Spayed Female","1 year","Parson Russell Terrier Mix","Black/White"
"A715893","Pancho","11/22/2015 17:26","Return_to_owner","","Dog","Neutered Male","9 months","Labrador Retriever Mix","Black/White"
"A702131","Jake","5/27/2015 16:20","Adoption","","Dog","Neutered Male","10 months","Pit Bull Mix","Brown/White"
"A656444","Paige","2/13/2014 15:50","Adoption","Foster","Dog","Spayed Female","1 year","Catahoula Mix","White/Tan"
"A682523","Maggie","7/2/2014 14:16","Return_to_owner","","Dog","Intact Female","7 years","German Shepherd Mix","Black/Tan"
"A696741","Jalapeno","3/14/2015 13:42","Adoption","","Dog","Neutered Male","1 year","Chihuahua Shorthair Mix","White"
"A620418","Yodi","12/18/2014 19:24","Adoption","Foster","Dog","Neutered Male","3 years","Chihuahua Shorthair","Black"
"A710417","Skipper","9/12/2015 11:56","Adoption","","Dog","Neutered Male","7 years","Chihuahua Shorthair Mix","White"
"A701728","Chico","7/12/2015 11:06","Euthanasia","Aggressive","Dog","Intact Male","2 years","Pit Bull Mix","Blue/White"
"A713739","Lazzie","10/13/2015 14:26","Euthanasia","Suffering","Dog","Spayed Female","2 years","German Shepherd Mix","Cream/Black"
"A701443","Rocky","5/23/2015 19:04","Adoption","","Dog","Neutered Male","2 years","Chihuahua Shorthair Mix","Brown/White"
"A694159","Gary","12/29/2014 17:08","Adoption","","Dog","Neutered Male","1 year","Queensland Heeler Mix","Tricolor"
"A706731","Lucky","7/3/2015 10:09","Euthanasia","Aggressive","Dog","Intact Male","2 years","Rottweiler Mix","Black/Brown"
"A551426","Lluvia","12/23/2013 11:00","Euthanasia","Behavior","Dog","Spayed Female","8 years","Cocker Spaniel","Buff/White"
"A697538","Baxter","3/1/2015 17:51","Adoption","","Dog","Neutered Male","5 years","Soft Coated Wheaten Terrier Mix","Cream"
"A664324","Gus","5/28/2014 18:33","Return_to_owner","","Dog","Neutered Male","3 years","Soft Coated Wheaten Terrier Mix","Cream"
"A712011","Daisy","9/19/2015 12:33","Adoption","","Dog","Spayed Female","4 years","Jack Russell Terrier Mix","Tricolor"
"A523533","Vida","12/30/2014 15:01","Return_to_owner","","Dog","Spayed Female","14 years","Boxer Mix","Brown"
"A707515","Canela","7/24/2015 16:50","Return_to_owner","","Dog","Intact Female","4 years","Chihuahua Shorthair Mix","Tan"
"A587990","Cevrus","1/12/2014 18:03","Adoption","","Dog","Neutered Male","4 years","Dachshund Mix","Black/White"
"A698490","Bacon","5/12/2015 17:56","Adoption","Foster","Dog","Neutered Male","2 months","Pit Bull Mix","Blue/White"
"A486687","Lala","9/1/2015 16:01","Return_to_owner","","Dog","Spayed Female","8 years","Labrador Retriever Mix","Brown/White"
"A714795","","10/28/2015 12:01","Transfer","Partner","Dog","Intact Male","1 month","Labrador Retriever Mix","Black"
"A707148","Tonka","7/9/2015 9:40","Euthanasia","Aggressive","Dog","Intact Male","2 years","Pit Bull Mix","Brown"
"A415049","Sophie","5/29/2015 13:07","Return_to_owner","","Dog","Spayed Female","9 years","Catahoula Mix","Brown Merle/White"
"A693160","","12/24/2014 8:41","Adoption","Foster","Dog","Spayed Female","1 month","Australian Cattle Dog Mix","Black/White"
"A698510","Thor","4/12/2015 13:32","Return_to_owner","","Dog","Neutered Male","5 years","Pit Bull Mix","Brown Brindle"
"A700527","Nacho","5/3/2015 14:36","Transfer","Partner","Dog","Neutered Male","1 year","Australian Shepherd Mix","Chocolate/White"
"A698185","","3/13/2015 16:05","Transfer","Partner","Dog","Intact Female","6 days","Rat Terrier Mix","White"
"A613785","Casper","7/8/2014 17:29","Euthanasia","Aggressive","Dog","Neutered Male","3 years","Pit Bull Mix","White"
"A697684","","2/26/2015 13:48","Transfer","Partner","Dog","Intact Female","2 months","Weimaraner Mix","Chocolate/White"
"A699955","Jack","5/9/2015 12:40","Adoption","","Dog","Neutered Male","7 months","Labrador Retriever Mix","Black"
"A674847","Chichio","7/12/2014 16:07","Euthanasia","Aggressive","Dog","Neutered Male","4 years","Pit Bull Mix","Brown"
"A699131","Mac","4/2/2015 19:11","Return_to_owner","","Dog","Neutered Male","1 year","Chihuahua Shorthair Mix","Brown"
"A702097","Bella","5/9/2015 15:21","Transfer","Partner","Dog","Intact Female","1 year","Chihuahua Shorthair Mix","Black/Tan"
"A682603","Poseidon","9/6/2015 18:02","Return_to_owner","","Dog","Neutered Male","4 years","Staffordshire Mix","Black/White"
"A706413","Gizmo","10/12/2015 13:54","Adoption","","Dog","Neutered Male","8 years","German Shepherd Mix","Brown"
"A664097","Remmy","10/11/2013 13:13","Transfer","Partner","Dog","Intact Female","9 months","Pointer Mix","Black/White"
"A702600","Mr. Hunter","5/18/2015 15:47","Return_to_owner","","Dog","Neutered Male","3 years","Labrador Retriever Mix","Black/White"
"A669984","Rowdy","1/4/2014 17:12","Adoption","","Dog","Neutered Male","2 months","Treeing Walker Coonhound Mix","Brown/White"
"A715057","","11/8/2015 18:48","Adoption","","Dog","Spayed Female","1 year","Australian Cattle Dog Mix","Black/White"
"A668893","Axel","12/11/2013 13:48","Euthanasia","Aggressive","Dog","Neutered Male","2 years","Pit Bull Mix","Black Brindle/White"
"A670760","","1/13/2014 19:09","Euthanasia","Suffering","Dog","Intact Male","1 month","Chihuahua Shorthair Mix","Brown"
"A706264","Batman","7/4/2015 15:17","Adoption","","Dog","Spayed Female","2 years","Cardigan Welsh Corgi Mix","Tricolor"
"A694253","","12/29/2014 18:21","Adoption","","Dog","Spayed Female","2 years","Maltese Mix","White"
"A696878","Bodie","2/17/2015 18:41","Adoption","","Dog","Neutered Male","2 months","Cocker Spaniel Mix","Brown Brindle/Brown Brindle"
"A684335","Captain","7/30/2014 16:15","Adoption","","Dog","Neutered Male","2 years","Siberian Husky Mix","Black/White"
"A667935","Gizmo","12/5/2013 10:19","Transfer","Partner","Dog","Intact Male","6 years","Chihuahua Longhair Mix","Brown/White"
"A386005","Giovanni","9/26/2015 11:15","Return_to_owner","","Dog","Neutered Male","10 years","Australian Cattle Dog Mix","White/Black"
"A668788","Scout","12/13/2013 13:31","Transfer","Partner","Dog","Intact Male","4 months","Border Collie Mix","White/Black"
"A669953","","1/3/2014 17:52","Adoption","","Dog","Spayed Female","4 months","Pit Bull Mix","Chocolate/White"
"A680221","Khloe","9/30/2014 12:28","Adoption","Foster","Dog","Spayed Female","5 months","Chihuahua Shorthair Mix","Black/Tan"
"A717414","Tito","12/28/2015 18:13","Transfer","Partner","Dog","Neutered Male","1 year","Chihuahua Shorthair Mix","Buff"
"A673594","Denali","3/9/2014 18:47","Adoption","","Dog","Spayed Female","2 years","Australian Cattle Dog Mix","White/Black"
"A707099","Luke","8/15/2015 19:21","Adoption","","Dog","Neutered Male","11 months","Chihuahua Shorthair Mix","Brown"
"A694500","Zari","1/4/2015 13:10","Transfer","Partner","Dog","Spayed Female","9 years","Dachshund Mix","Red"
"A676459","Walker","4/16/2014 12:52","Transfer","Partner","Dog","Neutered Male","6 years","Chihuahua Shorthair Mix","Tan"
"A712535","","9/27/2015 17:57","Adoption","","Dog","Neutered Male","8 months","Chihuahua Longhair Mix","Tan"
"A682804","Roxy","12/5/2014 15:14","Adoption","","Dog","Spayed Female","2 years","Pit Bull Mix","White/Brown Brindle"
"A678640","Lucy","5/13/2014 16:40","Return_to_owner","","Dog","Spayed Female","6 years","Labrador Retriever","Yellow"
"A699339","Trixie","3/29/2015 18:20","Adoption","","Dog","Spayed Female","4 months","Cardigan Welsh Corgi Mix","Brown"
"A674494","Rosalie","3/30/2014 15:00","Adoption","","Dog","Spayed Female","2 years","Labrador Retriever Mix","Black/White"
"A664815","Lady","10/20/2013 17:25","Adoption","","Dog","Spayed Female","1 year","Chihuahua Shorthair Mix","Tan/White"
"A671748","Dell","6/12/2014 16:01","Adoption","","Dog","Neutered Male","7 years","Pit Bull Mix","Brown/White"
"A690940","","11/2/2014 17:51","Adoption","","Dog","Spayed Female","4 months","Miniature Schnauzer Mix","Black/White"
"A714322","Rocky","10/24/2015 14:39","Return_to_owner","","Dog","Intact Male","14 years","Chihuahua Shorthair Mix","Black/Tan"
"A362967","Honey","6/15/2014 11:14","Return_to_owner","","Dog","Spayed Female","9 years","German Shepherd Mix","Tan/White"
"A719262","Nia","1/17/2016 14:44","Return_to_owner","","Dog","Spayed Female","8 years","American Bulldog Mix","White/Black"
"A688949","Conrad","9/27/2014 11:55","Return_to_owner","","Dog","Intact Male","3 years","Boxer Mix","Black"
"A679459","Major","6/13/2014 12:48","Euthanasia","Behavior","Dog","Neutered Male","3 years","Border Collie Mix","Black/White"
"A696357","Derby","2/9/2015 17:32","Adoption","","Dog","Spayed Female","5 months","Labrador Retriever Mix","Black/White"
"A710005","Aj","8/19/2015 19:06","Adoption","","Dog","Neutered Male","1 year","Yorkshire Terrier Mix","Sable"
"A682513","Beka","7/2/2014 17:14","Return_to_owner","","Dog","Spayed Female","2 years","Chihuahua Shorthair Mix","Tricolor"
"A682769","","7/2/2014 16:59","Euthanasia","Suffering","Dog","Intact Male","5 years","Dachshund Mix","Red"
"A690524","Betty","11/8/2014 14:03","Adoption","","Dog","Spayed Female","2 months","Chihuahua Shorthair Mix","Black/White"
"A696957","Alexander","7/23/2015 11:06","Adoption","Foster","Dog","Neutered Male","8 years","Staffordshire Mix","Tan/White"
"A665029","","10/12/2013 16:39","Transfer","Partner","Dog","Intact Female","4 months","Pit Bull Mix","Black/White"
"A690345","Pumpkin","10/31/2014 15:53","Adoption","","Dog","Spayed Female","1 year","Labrador Retriever Mix","Chocolate"
"A711582","Angelina","1/18/2016 12:21","Transfer","Partner","Dog","Spayed Female","1 year","Pit Bull Mix","Black/White"
"A621537","Bubba","4/16/2015 13:24","Transfer","Partner","Dog","Neutered Male","6 years","Pit Bull Mix","Blue/White"
"A693528","Jackson","1/4/2015 18:09","Adoption","","Dog","Neutered Male","1 year","Pit Bull Mix","Blue Tiger/White"
"A711937","Beaux","9/14/2015 13:50","Return_to_owner","","Dog","Neutered Male","11 years","Alaskan Malamute Mix","White/Silver"
"A659835","Moon Doggie","5/17/2014 15:54","Adoption","","Dog","Neutered Male","9 months","Labrador Retriever Mix","Black"
"A684895","Max","8/27/2014 18:38","Adoption","","Dog","Neutered Male","1 year","Chihuahua Shorthair Mix","Brown/White"
"A684379","Kreydos","8/1/2014 13:21","Return_to_owner","","Dog","Neutered Male","2 years","Pit Bull Mix","Tricolor"
"A694444","Moose","1/1/2015 17:50","Adoption","","Dog","Neutered Male","4 months","Cardigan Welsh Corgi Mix","Black"
"A677416","Bombay","7/27/2014 14:52","Adoption","","Dog","Neutered Male","3 years","Labrador Retriever Mix","Brown"
"A716072","","11/18/2015 16:47","Adoption","","Dog","Spayed Female","1 year","Australian Kelpie Mix","Black/Tan"
"A717701","Bo","12/17/2015 15:18","Adoption","","Dog","Neutered Male","8 years","Yorkshire Terrier","Red/Black"
"A667062","","12/3/2013 17:27","Adoption","","Dog","Neutered Male","2 years","Miniature Poodle Mix","White"
"A661789","Tank","10/28/2013 17:54","Euthanasia","Behavior","Dog","Neutered Male","2 years","Pit Bull Mix","Brown/White"
"A677030","","4/23/2014 16:18","Transfer","Partner","Dog","Neutered Male","2 years","Dachshund Mix","Blue Merle"
"A692257","","11/21/2014 17:49","Adoption","","Dog","Spayed Female","2 months","Italian Greyhound Mix","White/Tan"
"A674274","","3/14/2014 11:01","Transfer","Partner","Dog","Intact Male","1 year","Rat Terrier Mix","White/Chocolate"
"A667104","Decker","11/21/2013 14:12","Transfer","Partner","Dog","Neutered Male","1 year","Labrador Retriever Mix","Chocolate"
"A716278","Stefanie","11/23/2015 0:00","Transfer","Partner","Dog","Spayed Female","5 years","Australian Shepherd Mix","White/Red"
"A720669","","2/18/2016 17:08","Adoption","","Dog","Spayed Female","7 months","Australian Cattle Dog Mix","Tan"
"A696971","Remington","4/5/2015 17:37","Transfer","Partner","Dog","Neutered Male","1 year","Pit Bull Mix","Black Brindle"
"A665719","","11/3/2013 17:15","Adoption","","Dog","Spayed Female","2 months","Chihuahua Longhair Mix","Tan"
"A688427","","10/4/2014 18:46","Transfer","Partner","Dog","Neutered Male","3 years","American Bulldog Mix","White"
"A707517","Flack","8/25/2015 14:43","Return_to_owner","","Dog","Neutered Male","7 years","Chihuahua Shorthair Mix","Black/White"
"A675079","Serrano","3/24/2014 12:06","Return_to_owner","","Dog","Neutered Male","15 years","Chihuahua Shorthair Mix","Tan"
"A698293","Maddi","3/18/2015 18:10","Return_to_owner","","Dog","Spayed Female","1 year","Soft Coated Wheaten Terrier","White/Gray"
"A705826","","6/21/2015 17:39","Euthanasia","Suffering","Dog","Intact Female","1 month","Pit Bull Mix","Tan/White"
"A677919","Gigi","2/4/2015 17:20","Return_to_owner","","Dog","Neutered Male","2 years","Cardigan Welsh Corgi Mix","Red/White"
"A685475","","8/12/2014 12:25","Euthanasia","Suffering","Dog","Spayed Female","8 years","Siberian Husky Mix","Cream"
"A685831","Buffy","8/17/2014 12:46","Transfer","Partner","Dog","Spayed Female","1 year","Great Pyrenees Mix","White"
"A698201","","5/2/2015 21:10","Adoption","Offsite","Dog","Neutered Male","1 month","Labrador Retriever Mix","White"
"A704291","Simba","6/30/2015 13:08","Transfer","Partner","Dog","Neutered Male","3 months","Labrador Retriever Mix","White"
"A666853","King","12/14/2013 17:52","Adoption","","Dog","Neutered Male","6 years","Anatol Shepherd Mix","White/Tan"
"A693734","","12/18/2014 11:46","Adoption","","Dog","Spayed Female","6 months","Queensland Heeler Mix","Blue Merle/Blue Merle"
"A676947","Maggie","4/26/2014 13:44","Adoption","Offsite","Dog","Spayed Female","3 years","Chihuahua Shorthair Mix","Tan"
"A714549","Big Boy","10/25/2015 12:50","Return_to_owner","","Dog","Intact Male","4 years","Rottweiler","Black/Tan"
"A700649","Baby Girl","4/22/2015 18:30","Return_to_owner","","Dog","Spayed Female","4 years","Pit Bull Mix","Blue/White"
"A673660","Loulou","3/4/2014 18:46","Adoption","","Dog","Spayed Female","4 months","Australian Shepherd Mix","White/Black"
"A720368","Junior","2/11/2016 19:13","Return_to_owner","","Dog","Neutered Male","2 years","Soft Coated Wheaten Terrier Mix","White"
"A704302","","6/8/2015 18:25","Transfer","Partner","Dog","Spayed Female","1 year","Chihuahua Shorthair Mix","Tan"
"A710259","","8/24/2015 19:01","Adoption","","Dog","Neutered Male","1 month","German Shepherd Mix","Red/Black"
"A698198","","5/2/2015 20:45","Adoption","Offsite","Dog","Spayed Female","1 month","Labrador Retriever Mix","Sable"
"A693503","Chucho","12/20/2014 18:07","Return_to_owner","","Dog","Neutered Male","2 years","Pit Bull Mix","Chocolate/White"
"A662814","Batman","12/12/2013 13:25","Adoption","Foster","Dog","Neutered Male","4 years","Pit Bull Mix","Black/White"
"A683802","Riley","7/19/2014 18:40","Adoption","","Dog","Neutered Male","2 months","Border Collie Mix","Black/White"
"A672678","Kaira","7/23/2015 16:00","Transfer","Partner","Dog","Spayed Female","4 years","Pit Bull","White/Tan"
"A719495","Brie","1/22/2016 11:32","Transfer","Partner","Dog","Intact Female","5 years","Shih Tzu","White/Brown"
"A659078","Lucy","2/18/2014 15:55","Adoption","","Dog","Spayed Female","1 year","Labrador Retriever Mix","Black/White"
"A712340","Buster","10/1/2015 18:16","Return_to_owner","","Dog","Intact Male","6 years","Pit Bull Mix","Brown/White"
"A713834","Rollie","10/15/2015 12:38","Return_to_owner","","Dog","Spayed Female","5 years","Chihuahua Shorthair Mix","Buff/White"
"A658733","Skyler","7/9/2014 12:48","Return_to_owner","","Dog","Neutered Male","1 year","Catahoula Mix","Blue Merle/Tan"
"A713234","Precious","10/5/2015 18:32","Return_to_owner","","Dog","Spayed Female","1 year","Pit Bull Mix","Blue Cream/White"
"A699249","","3/25/2015 11:26","Transfer","Partner","Dog","Unknown","3 days","Lhasa Apso Mix","White/Brown"
"A702239","Ivy","5/23/2015 15:46","Adoption","","Dog","Spayed Female","8 months","Blue Lacy Mix","Blue"
"A700549","Lisa","4/19/2015 19:22","Adoption","Foster","Dog","Spayed Female","1 month","Border Collie Mix","Black/White"
"A680234","Vida","6/10/2014 16:38","Transfer","Partner","Dog","Spayed Female","1 year","Manchester Terrier Mix","Black/Brown Brindle"
"A668221","Scrappy","12/20/2013 17:05","Transfer","Partner","Dog","Neutered Male","2 years","Rat Terrier Mix","Tricolor"
"A720424","Scooby","2/10/2016 16:15","Adoption","","Dog","Neutered Male","5 years","Cocker Spaniel Mix","Tan"
"A671111","","1/22/2014 17:11","Adoption","","Dog","Neutered Male","5 months","Miniature Pinscher Mix","Brown/White"
"A548939","Leo","8/21/2014 8:52","Euthanasia","Aggressive","Dog","Neutered Male","7 years","Parson Russell Terrier Mix","White/Red"
"A684753","Bear","8/1/2014 18:45","Adoption","","Dog","Spayed Female","3 months","Italian Greyhound Mix","Black/White"
"A717476","Trix","1/2/2016 15:52","Transfer","Partner","Dog","Neutered Male","2 years","German Shepherd Mix","Tricolor"
"A673082","Baby","3/8/2014 18:37","Adoption","","Dog","Neutered Male","5 years","Maltese","White"
"A691246","Rebel","12/13/2014 15:27","Adoption","","Dog","Neutered Male","1 year","German Shepherd Mix","Brown/Black"
"A683262","X","7/18/2014 13:02","Transfer","Partner","Dog","Neutered Male","1 year","Labrador Retriever Mix","Buff"
